200.062  2.31386  2.57222  1.99439  2.26708  1.59767  1.87493
200.124  2.31535  2.57379  1.99575  2.2686  1.59896  1.87628
200.127  2.31542  2.57387  1.99582  2.26868  1.59903  1.87635
204.267  2.41603  2.67626  2.08808  2.36587  1.68566  1.96666
204.736  2.42696  2.68699  2.09831  2.37653  1.69516  1.97644
205.103  2.43546  2.6952  2.10623  2.38487  1.7025  1.98396
205.114  2.43571  2.69545  2.10647  2.38512  1.70272  1.98418
205.139  2.43628  2.696  2.107  2.38569  1.70321  1.98468
205.22  2.43815  2.69778  2.10873  2.38752  1.70481  1.98631
209.92  2.54417  2.79549  2.20666  2.49281  1.79603  2.07435
210.008  2.54612  2.79733  2.20854  2.49471  1.7978  2.07597
210.081  2.54775  2.79885  2.21011  2.49628  1.79927  2.07731
210.202  2.55041  2.80137  2.2127  2.49886  1.80171  2.07953
211.888  2.58738  2.83765  2.24964  2.53416  1.83664  2.11096
212.457  2.59969  2.85044  2.26222  2.54573  1.84856  2.12174
214.775  2.64881  2.90462  2.31283  2.5914  1.89548  2.16674
215.063  2.65479  2.91145  2.31893  2.59692  1.90093  2.17246
215.09  2.65534  2.91208  2.31949  2.59743  1.90143  2.17298
215.12  2.65597  2.91281  2.32013  2.59801  1.902  2.17359
219.779  2.74901  3.01835  2.41121  2.68433  1.98148  2.26456
219.926  2.75188  3.02142  2.41395  2.68705  1.98402  2.26726
219.982  2.75297  3.02258  2.41498  2.68808  1.98499  2.26827
219.984  2.75301  3.02263  2.41502  2.68812  1.98503  2.26831
220.077  2.75484  3.02457  2.41677  2.68986  1.98666  2.27001
220.1  2.75529  3.02504  2.41719  2.69028  1.98706  2.27043
224.964  2.84948  3.11813  2.50773  2.7837  2.0756  2.35487
225.065  2.85142  3.11996  2.50964  2.78572  2.07738  2.35663
225.08  2.85171  3.12023  2.50992  2.78602  2.07764  2.3569
225.082  2.85175  3.12027  2.50997  2.78607  2.07768  2.35694
229.204  2.92888  3.19375  2.5874  2.86634  2.1469  2.42995
229.821  2.94005  3.20488  2.59845  2.87709  2.15755  2.44046
229.863  2.9408  3.20563  2.59919  2.8778  2.15827  2.44116
229.935  2.94209  3.20694  2.60046  2.87901  2.15954  2.44237
229.944  2.94225  3.2071  2.60061  2.87916  2.15969  2.44252
230.06  2.94434  3.20921  2.60266  2.8811  2.16174  2.44446
234.801  3.02566  3.29784  2.68117  2.9547  2.24706  2.51968
234.864  3.02671  3.29903  2.6822  2.95573  2.24811  2.52066
235.089  3.03049  3.30329  2.68588  2.95943  2.25182  2.52417
235.166  3.03178  3.30474  2.68715  2.96071  2.25308  2.52536
236.545  3.05514  3.33069  2.71009  2.98438  2.27465  2.54694
237.853  3.07793  3.35508  2.73226  3.00753  2.29396  2.56754
239.87  3.11453  3.39205  2.76689  3.04246  2.32306  2.59939
239.904  3.11516  3.39267  2.76747  3.04303  2.32355  2.59992
239.936  3.11575  3.39325  2.76803  3.04356  2.32402  2.60043
240.171  3.12007  3.39749  2.77207  3.04744  2.32746  2.60413
244.824  3.20392  3.47818  2.84895  3.1207  2.399  2.67646
245.018  3.20721  3.48138  2.85188  3.12385  2.4021  2.67939
245.024  3.20731  3.48147  2.85197  3.12395  2.4022  2.67948
245.25  3.21114  3.4852  2.85537  3.12768  2.40584  2.6829
246.184  3.22655  3.50034  2.869  3.14344  2.4209  2.69688
246.709  3.23493  3.50869  2.87646  3.1525  2.42936  2.70464
249.804  3.28086  3.55573  2.92008  3.20545  2.47788  2.74968
249.864  3.2817  3.5566  2.92095  3.20642  2.47877  2.75054
249.881  3.28194  3.55686  2.92121  3.20671  2.47904  2.7508
250.053  3.28435  3.55936  2.92373  3.20948  2.48159  2.75328
254.365  3.34294  3.62011  2.99017  3.27329  2.54134  2.81441
254.841  3.34947  3.62661  2.99719  3.2797  2.54755  2.82081
254.886  3.35008  3.62722  2.99784  3.28029  2.54813  2.8214
255.022  3.35196  3.62907  2.9998  3.28209  2.54989  2.8232
255.182  3.35419  3.63125  3.0021  3.28421  2.55198  2.82532
257.249  3.38339  3.65923  3.03049  3.31033  2.57845  2.85168
259.813  3.42005  3.69402  3.06521  3.34394  2.61147  2.8838
259.816  3.42009  3.69405  3.06525  3.34397  2.6115  2.88384
259.881  3.42101  3.69494  3.06615  3.3449  2.61235  2.88466
259.883  3.42104  3.69497  3.06619  3.34494  2.61238  2.88469
260.768  3.43346  3.707  3.07879  3.35807  2.62409  2.89614
264.669  3.48648  3.75968  3.13544  3.41454  2.67658  2.94954
264.801  3.48825  3.76146  3.13728  3.41616  2.67836  2.95144
264.82  3.48851  3.76172  3.13755  3.41639  2.67862  2.95172
264.863  3.48908  3.76229  3.13813  3.4169  2.67918  2.95233
265.342  3.49546  3.7687  3.14467  3.42247  2.68557  2.95925
268.475  3.5369  3.81028  3.18549  3.45417  2.72695  3.00427
269.825  3.55467  3.82803  3.20309  3.46801  2.74495  3.02232
269.898  3.55562  3.82898  3.20405  3.4688  2.74592  3.02325
269.9  3.55565  3.82902  3.20408  3.46883  2.74596  3.02328
269.902  3.55568  3.82905  3.20412  3.46886  2.74599  3.02331
274.828  3.61947  3.89255  3.26813  3.53124  2.81  3.07929
274.83  3.6195  3.89257  3.26816  3.53127  2.81003  3.07931
274.88  3.62013  3.89321  3.26873  3.53192  2.8106  3.07985
274.882  3.62016  3.89324  3.26875  3.53195  2.81063  3.07988
275.115  3.6231  3.89615  3.27135  3.53495  2.81327  3.0824
275.318  3.62564  3.89868  3.27355  3.53754  2.81552  3.0846
279.533  3.67642  3.94622  3.31175  3.58824  2.85555  3.13106
279.566  3.67681  3.94653  3.31201  3.58863  2.85584  3.13143
279.76  3.67908  3.94837  3.31359  3.59089  2.85752  3.13358
279.801  3.67956  3.94875  3.31393  3.59137  2.85788  3.13404
279.906  3.68079  3.94974  3.31478  3.5926  2.8588  3.13521
279.93  3.68107  3.94997  3.31498  3.59288  2.85901  3.13547
