 1107.55  953.79 1001.54  381.82  540.31  140.78  491.94  962.60
 1102.25  951.46  998.10  377.15  540.87  141.10  492.44  961.65
 1096.62  948.94  994.38  372.30  541.51  141.47  493.01  960.57
 1090.70  946.20  990.36  367.28  542.23  141.89  493.67  959.34
 1084.49  943.24  986.03  362.11  543.06  142.37  494.44  957.96
 1078.06  940.03  981.34  356.82  544.00  142.91  495.31  956.39
 1071.47  936.57  976.29  351.48  545.07  143.53  496.32  954.61
 1064.82  932.85  970.86  346.14  546.28  144.23  497.47  952.62
 1058.24  928.86  965.05  340.89  547.64  145.02  498.77  950.39
 1051.86  924.61  958.84  335.81  549.17  145.91  500.24  947.91
 1045.80  920.11  952.24  330.97  550.87  146.91  501.90  945.16
 1040.14  915.37  945.27  326.41  552.76  148.03  503.74  942.15
 1034.93  910.43  937.96  322.11  554.82  149.28  505.77  938.88
 1030.14  905.33  930.34  318.00  557.07  150.65  508.00  935.35
 1025.70  900.10  922.44  314.00  559.50  152.16  510.42  931.59
 1021.55  894.78  914.32  310.03  562.10  153.82  513.03  927.61
 1017.58  889.42  906.01  306.03  564.86  155.62  515.82  923.44
 1013.74  884.06  897.54  301.95  567.79  157.57  518.79  919.09
 1009.98  878.72  888.97  297.78  570.86  159.69  521.93  914.58
 1006.25  873.44  880.31  293.52  574.08  161.97  525.25  909.93
 1002.55  868.26  871.61  289.21  577.44  164.44  528.73  905.17
  998.85  863.19  862.90  284.90  580.94  167.09  532.39  900.31
  995.16  858.27  854.20  280.63  584.56  169.95  536.20  895.38
  991.48  853.52  845.57  276.49  588.29  173.03  540.17  890.40
  987.82  848.97  837.03  272.55  592.13  176.33  544.29  885.40
  984.19  844.64  828.64  268.88  596.05  179.87  548.55  880.42
  980.60  840.55  820.44  265.58  600.04  183.65  552.93  875.48
  977.07  836.73  812.47  262.72  604.08  187.68  557.42  870.63
  973.61  833.18  804.79  260.37  608.15  191.97  562.00  865.90
  970.22  829.93  797.42  258.58  612.21  196.50  566.63  861.33
  966.91  826.97  790.42  257.40  616.26  201.28  571.31  856.95
  963.69  824.31  783.82  256.86  620.26  206.29  576.00  852.80
  960.56  821.95  777.63  256.95  624.19  211.52  580.68  848.90
  957.51  819.87  771.88  257.68  628.04  216.95  585.33  845.27
